"Object Id","Name","Price","Edibility","Type","Category","English Name","Description","Food Or Drink","Buff Farming","Buff Fishing","Buff Mining","Buff Digging (unimplemented)","Buff Luck","Buff Foraging","Buff Crafting","Buff Max Energy","Buff Magnetism","Buff Speed","Buff Defense","Buff Duration"
"438","L. Goat Milk","345","35","Basic","-6","L. Goat Milk","A gallon of creamy goat's milk.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"459","Mead","200","30","Basic","-26","Mead","A fermented beverage made from honey. Drink in moderation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"612","Cranberry Candy","175","50","Cooking","-7","Cranberry Candy","It's sweet enough to mask the bitter fruit.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"614","Green Tea","100","5","Basic","-26","Green Tea","A pleasant, energizing beverage made from lightly processed tea leaves.","drink","0","0","0","0","0","0","0","30","0","0","0","360"
"724","Maple Syrup","200","20","Basic","-27","Maple Syrup","A sweet syrup with a unique flavor.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"772","Oil of Garlic","1000","80","Cooking","-7","Oil of Garlic","Drink this and weaker monsters will avoid you.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"773","Life Elixir","500","80","Cooking","-7","Life Elixir","Restores health to full.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"803","Iridium Milk","0","-2","Basic","","Iridium Milk","A powerful 'milk' of unknown origin...","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"873","Piña Colada","300","30","Cooking","-7","Piña Colada","Drink in moderation.","drink","0","0","0","0","0","0","0","0","0","0","0","0"
"903","Ginger Ale","200","25","Cooking","-7","Ginger Ale","A zesty soda known for its soothing effect on the stomach.","drink","0","0","0","0","1","0","0","0","0","0","0","430"
